icao,maxTraffic
KABQ,14
KADW,0
KAFW,0
KAGS,0
KAMA,0
KATL,125
KAUS,53
KAVL,0
KBDL,2
KBFI,2
KBGR,0
KBHM,0
KBIL,0
KBLV,0
KBMI,0
KBNA,44
KBOI,0
KBOS,1475
KBUF,156
KBWI,63
KCAE,0
KCHA,0
KCID,0
KCLE,45
KCLT,52
KCMH,0
KCOS,0
KCRP,0
KCRW,0
KCVG,0
KDAB,1
KDAL,0
KDAY,0
KDBQ,0
KDCA,299
KDEN,39
KDFW,24
KDLF,0
KDLH,0
KDSM,0
KDTW,45
KERI,0
KEWR,239
KFLL,651
KFSM,0
KFTW,0
KFWA,0
KGEG,0
KGPT,0
KGRB,0
KGSO,0
KGSP,0
KGUS,0
KHIB,0
KHOU,0
KHSV,0
KHTS,0
KIAD,0
KIAH,29
KICT,0
KIND,0
KJAN,0
KJAX,0
KJFK,1014
KJLN,0
KLAS,107
KLAX,244
KLBB,0
KLCK,0
KLEX,0
KLFT,0
KLIT,0
KMBS,0
KMCI,0
KMCO,40
KMDW,0
KMEM,0
KMGE,0
KMGM,0
KMHT,0
KMIA,0
KMKE,0
KMLI,0
KMLU,0
KMOB,0
KMSN,0
KMSP,38
KMSY,0
KOAK,11
KOKC,0
KOMA,0
KONT,10
KORD,96
KORF,1
KPBI,0
KPDX,14
KPHF,0
KPHL,121
KPHX,44
KPIA,0
KPIT,19
KPVD,17
KPWM,0
KRDU,115
KRFD,0
KRIC,0
KRNO,0
KROA,0
KROC,58
KRST,0
KRSW,241
KSAN,72
KSAT,0
KSAV,0
KSBN,0
KSDF,0
KSEA,53
KSFB,10
KSFO,196
KSGF,0
KSJC,20
KSLC,6
KSMF,14
KSNA,0
KSPI,0
KSRQ,55
KSTL,0
KSUS,0
KSUX,0
KSYR,42
KTLH,0
KTOL,0
KTPA,217
KTRI,0
KTUL,0
KTUS,0
KTYS,0
KVPS,0
PAFA,0
PANC,0
PHNL,0
